root@large-insatnce:~/cs553-spring2024-hw5-mdinesh6# ./vault -t 16 -o 16 -i 4 -m 16 -s 64 -f data-64GB.bin
NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=193126051840
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 25204809728 bytes
Free Memory: 4265463808 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[173][HASHGEN]: 52.62% completed, ETA 155.9 seconds, 256/512 flushes, 298.2 MB/sec
[174][HASHGEN]: 53.08% completed, ETA 153.9 seconds, 256/512 flushes, 298.6 MB/sec
[175][HASHGEN]: 53.54% completed, ETA 152.0 seconds, 256/512 flushes, 298.9 MB/sec
[176][HASHGEN]: 53.99% completed, ETA 150.1 seconds, 256/512 flushes, 299.7 MB/sec
[177][HASHGEN]: 54.45% completed, ETA 148.2 seconds, 256/512 flushes, 299.2 MB/sec
[178][HASHGEN]: 54.91% completed, ETA 146.3 seconds, 256/512 flushes, 299.5 MB/sec
[179][HASHGEN]: 55.39% completed, ETA 144.3 seconds, 256/512 flushes, 313.2 MB/sec
[180][HASHGEN]: 55.89% completed, ETA 142.2 seconds, 256/512 flushes, 330.7 MB/sec
[181][HASHGEN]: 56.37% completed, ETA 140.2 seconds, 256/512 flushes, 311.9 MB/sec
[182][HASHGEN]: 56.84% completed, ETA 138.3 seconds, 256/512 flushes, 308.4 MB/sec
[183][HASHGEN]: 57.30% completed, ETA 136.5 seconds, 256/512 flushes, 304.9 MB/sec
[184][HASHGEN]: 57.78% completed, ETA 134.6 seconds, 256/512 flushes, 309.4 MB/sec
[185][HASHGEN]: 58.24% completed, ETA 132.7 seconds, 256/512 flushes, 306.5 MB/sec
[186][HASHGEN]: 58.72% completed, ETA 130.9 seconds, 256/512 flushes, 309.0 MB/sec
[187][HASHGEN]: 59.20% completed, ETA 129.0 seconds, 256/512 flushes, 317.7 MB/sec
[188][HASHGEN]: 59.74% completed, ETA 126.8 seconds, 256/512 flushes, 353.0 MB/sec
[189][HASHGEN]: 60.27% completed, ETA 124.7 seconds, 256/512 flushes, 346.7 MB/sec
[190][HASHGEN]: 60.77% completed, ETA 122.8 seconds, 256/512 flushes, 325.3 MB/sec
[191][HASHGEN]: 61.26% completed, ETA 120.9 seconds, 256/512 flushes, 326.8 MB/sec
